storm_id,start,end,peak_date,peak_mm,total_mm,days,observed,grade,lag_hours,rel_orbit,obs_kst,acquisition_reliability,status,next_pass_kst,next_pass_orbit,next_pass_lag_hours,reason
S20210516,2021-05-16,2021-05-17,2021-05-16,45.0,49.5,2,True,A,15.5,134.0,2021-05-17 06:32,0.63,observed_good,,,,peak +16시간 — 침수 범위 판정 신뢰 가능
S20210703,2021-07-03,2021-07-08,2021-07-03,33.8,118.3,4,True,C,147.5,127.0,2021-07-09 18:31,0.87,observed_late,,,,peak +148시간 — 사건을 놓친 관측. 현장조사 필요
S20210823,2021-08-21,2021-08-26,2021-08-23,56.7,158.2,5,True,B,75.5,127.0,2021-08-26 18:31,0.87,observed_late,,,,peak +76시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20210901,2021-09-01,2021-09-02,2021-09-01,37.1,40.9,2,True,A,15.5,134.0,2021-09-02 06:32,0.63,observed_good,,,,peak +16시간 — 침수 범위 판정 신뢰 가능
S20210906,2021-09-06,2021-09-08,2021-09-06,41.9,50.6,3,True,A,27.5,127.0,2021-09-07 18:31,0.87,observed_good,,,,peak +28시간 — 침수 범위 판정 신뢰 가능
S20210921,2021-09-21,2021-09-21,2021-09-21,37.7,37.7,1,True,B,111.5,134.0,2021-09-26 06:32,0.63,observed_late,,,,peak +112시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20220629,2022-06-29,2022-07-01,2022-06-29,32.2,61.3,3,True,C,123.5,127.0,2022-07-04 18:31,0.87,observed_late,,,,peak +124시간 — 사건을 놓친 관측. 현장조사 필요
S20220713,2022-07-13,2022-07-13,2022-07-13,37.0,37.0,1,True,B,75.5,127.0,2022-07-16 18:31,0.87,observed_late,,,,peak +76시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20220721,2022-07-21,2022-07-21,2022-07-21,33.1,33.1,1,True,C,171.5,127.0,2022-07-28 18:31,0.87,observed_late,,,,peak +172시간 — 사건을 놓친 관측. 현장조사 필요
S20220801,2022-08-01,2022-08-02,2022-08-01,20.5,29.3,2,True,C,195.5,127.0,2022-08-09 18:32,0.87,observed_late,,,,peak +196시간 — 사건을 놓친 관측. 현장조사 필요
S20220810,2022-08-10,2022-08-13,2022-08-10,72.1,146.2,4,False,C,,,,,missed,2026-09-07 06:31,134.0,35727.5,peak 이후 10일 안에 충남 전체커버 관측 없음 — 현장조사 외 확인수단 없음
S20220830,2022-08-30,2022-09-01,2022-08-30,70.6,75.1,3,True,B,75.5,127.0,2022-09-02 18:32,0.87,observed_late,,,,peak +76시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20220905,2022-09-05,2022-09-07,2022-09-05,52.1,95.6,3,True,C,219.5,127.0,2022-09-14 18:32,0.87,observed_late,,,,peak +220시간 — 사건을 놓친 관측. 현장조사 필요
S20221004,2022-10-04,2022-10-05,2022-10-04,30.2,30.4,2,True,B,99.5,127.0,2022-10-08 18:32,0.87,observed_late,,,,peak +100시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20230506,2023-05-06,2023-05-07,2023-05-06,36.0,39.2,2,False,C,,,,,missed,2026-09-07 06:31,134.0,29271.5,peak 이후 10일 안에 충남 전체커버 관측 없음 — 현장조사 외 확인수단 없음
S20230529,2023-05-29,2023-05-30,2023-05-29,28.6,29.2,2,False,C,,,,,missed,2026-09-07 06:31,134.0,28719.5,peak 이후 10일 안에 충남 전체커버 관측 없음 — 현장조사 외 확인수단 없음
S20230629,2023-06-26,2023-07-01,2023-06-29,48.6,124.1,4,True,A,3.5,127.0,2023-06-29 18:32,0.87,observed_good,,,,peak +4시간 — 침수 범위 판정 신뢰 가능
S20230714,2023-07-13,2023-07-19,2023-07-14,118.6,279.1,7,True,C,219.5,127.0,2023-07-23 18:32,0.87,observed_late,,,,peak +220시간 — 사건을 놓친 관측. 현장조사 필요
S20230723,2023-07-23,2023-07-25,2023-07-23,50.9,62.1,3,True,A,3.5,127.0,2023-07-23 18:32,0.87,observed_good,,,,peak +4시간 — 침수 범위 판정 신뢰 가능
S20230810,2023-08-10,2023-08-12,2023-08-10,93.5,121.8,3,True,C,147.5,127.0,2023-08-16 18:32,0.87,observed_late,,,,peak +148시간 — 사건을 놓친 관측. 현장조사 필요
S20230824,2023-08-24,2023-08-24,2023-08-24,10.4,10.4,1,True,B,99.5,127.0,2023-08-28 18:32,0.87,observed_late,,,,peak +100시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20230830,2023-08-30,2023-08-31,2023-08-30,31.8,32.2,2,False,C,,,,,missed,2026-09-07 06:31,134.0,26487.5,peak 이후 10일 안에 충남 전체커버 관측 없음 — 현장조사 외 확인수단 없음
S20230920,2023-09-15,2023-09-22,2023-09-20,91.2,178.2,7,True,A,27.5,127.0,2023-09-21 18:32,0.87,observed_good,,,,peak +28시간 — 침수 범위 판정 신뢰 가능
S20231106,2023-11-06,2023-11-07,2023-11-06,34.2,34.5,2,True,B,51.5,127.0,2023-11-08 18:32,0.87,observed_late,,,,peak +52시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20231215,2023-12-15,2023-12-16,2023-12-15,30.5,32.4,2,False,C,,,,,missed,2026-09-07 06:31,134.0,23919.5,peak 이후 10일 안에 충남 전체커버 관측 없음 — 현장조사 외 확인수단 없음
S20240505,2024-05-05,2024-05-07,2024-05-05,60.1,81.8,3,True,A,27.5,127.0,2024-05-06 18:32,0.87,observed_good,,,,peak +28시간 — 침수 범위 판정 신뢰 가능
S20240622,2024-06-22,2024-06-22,2024-06-22,35.9,35.9,1,False,C,,,,,missed,2026-09-07 06:31,134.0,19359.5,peak 이후 10일 안에 충남 전체커버 관측 없음 — 현장조사 외 확인수단 없음
S20240702,2024-07-02,2024-07-02,2024-07-02,33.1,33.1,1,True,B,75.5,127.0,2024-07-05 18:32,0.87,observed_late,,,,peak +76시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20240710,2024-07-07,2024-07-12,2024-07-10,85.8,232.3,6,True,C,171.5,127.0,2024-07-17 18:32,0.87,observed_late,,,,peak +172시간 — 사건을 놓친 관측. 현장조사 필요
S20240718,2024-07-18,2024-07-18,2024-07-18,24.9,24.9,1,False,C,,,,,missed,2026-09-07 06:31,134.0,18735.5,peak 이후 10일 안에 충남 전체커버 관측 없음 — 현장조사 외 확인수단 없음
S20240821,2024-08-21,2024-08-21,2024-08-21,35.3,35.3,1,True,A,27.5,127.0,2024-08-22 18:32,0.87,observed_good,,,,peak +28시간 — 침수 범위 판정 신뢰 가능
S20240920,2024-09-20,2024-09-22,2024-09-20,50.1,99.5,3,True,C,171.5,127.0,2024-09-27 18:32,0.87,observed_late,,,,peak +172시간 — 사건을 놓친 관측. 현장조사 필요
S20241018,2024-10-18,2024-10-20,2024-10-18,47.1,51.8,3,True,B,75.5,127.0,2024-10-21 18:32,0.87,observed_late,,,,peak +76시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20250621,2025-06-20,2025-06-23,2025-06-21,55.8,110.2,4,True,C,219.5,127.0,2025-06-30 18:31,0.87,observed_late,,,,peak +220시간 — 사건을 놓친 관측. 현장조사 필요
S20250717,2025-07-17,2025-07-20,2025-07-17,74.9,129.7,4,True,A,39.5,134.0,2025-07-19 06:31,0.63,observed_good,,,,peak +40시간 — 침수 범위 판정 신뢰 가능
S20250826,2025-08-26,2025-08-26,2025-08-26,32.1,32.1,1,True,B,75.5,127.0,2025-08-29 18:31,0.87,observed_late,,,,peak +76시간 — 잔존 침수만 관측. 논은 배수됐을 수 있음
S20250913,2025-09-13,2025-09-14,2025-09-13,33.5,33.7,2,True,C,219.5,127.0,2025-09-22 18:31,0.87,observed_late,,,,peak +220시간 — 사건을 놓친 관측. 현장조사 필요
