date,천안시 동남구,천안시 서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군
2025-07-15,3.9,6.7,1.3,6.2,3.9,7.0,3.2,6.6,5.6,4.8,1.0,5.5,1.1,5.0,2.3,8.4
2025-07-16,12.0,19.1,16.8,30.9,15.0,51.2,21.0,21.3,34.5,13.7,26.9,27.6,18.2,30.5,21.1,59.0
2025-07-17,61.2,83.7,50.8,108.7,68.5,68.5,25.7,40.9,73.5,13.3,84.8,105.8,80.4,145.1,111.1,75.9
2025-07-18,5.0,12.2,5.5,26.0,7.8,39.4,14.2,10.0,15.5,15.5,19.4,26.3,11.6,16.8,11.4,34.3
2025-07-19,27.8,34.5,23.1,38.8,21.2,12.0,68.9,58.0,14.1,78.5,57.0,95.0,13.2,5.4,5.6,12.9
2025-07-20,0.1,4.8,0.7,0.2,0.4,3.5,0.0,0.2,1.0,0.1,3.7,2.5,0.9,0.3,0.5,22.1
2025-07-21,1.9,1.2,1.9,0.2,0.3,0.8,3.8,4.4,1.3,2.8,2.3,0.4,0.9,0.9,1.4,0.5
2025-07-22,6.3,13.9,2.8,0.8,13.3,0.3,4.6,2.6,8.3,1.2,0.5,0.7,1.1,2.1,2.7,0.2
2025-07-23,0.0,0.0,0.0,0.2,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.5
2025-07-24,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-25,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-26,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-27,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-28,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.7,2.0,1.0,0.0
2025-07-29,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
2025-07-30,0.0,0.1,0.1,5.1,0.0,1.0,0.2,1.3,0.0,0.0,0.6,2.5,0.1,0.1,0.1,0.3
2025-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2025-08-02,0.6,0.2,0.0,0.0,1.2,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-03,23.3,30.7,31.3,32.3,38.5,19.0,24.2,28.0,13.1,26.9,36.5,29.6,30.1,29.1,22.3,30.5
2025-08-04,12.2,13.5,19.2,7.7,6.1,3.6,15.0,13.3,4.8,5.4,11.6,8.8,11.9,5.1,3.2,2.8
2025-08-05,0.1,0.0,0.0,0.2,0.0,2.2,0.9,0.2,1.7,2.1,0.4,0.7,0.1,0.0,0.0,0.6
