date,time_kst,rel_orbit,direction,sat,frames,coverage_pct,rain1d,rain3d,rain7d
2017-08-06,06:31,134,DESCENDING,S1B,1,99.9,4.8,5.5,62.5
2021-06-10,06:32,134,DESCENDING,S1B,1,99.9,5.4,5.4,6.1
2017-07-13,06:31,134,DESCENDING,S1B,1,99.9,0.0,5.0,85.0
2024-09-03,18:32,127,ASCENDING,S1A,1,100.0,0.7,4.8,5.3
2018-06-14,06:31,134,DESCENDING,S1B,1,99.9,0.9,4.7,15.8
2022-07-16,18:31,127,ASCENDING,S1A,1,100.0,1.6,4.7,64.2
2022-09-02,18:32,127,ASCENDING,S1A,1,100.0,0.3,4.7,80.2
2025-08-17,18:31,127,ASCENDING,S1A,1,100.0,1.2,4.5,37.1
2022-07-04,18:31,127,ASCENDING,S1A,1,100.0,2.9,4.4,67.5
2020-06-27,06:31,134,DESCENDING,S1B,1,99.9,0.1,4.4,27.8
2018-06-19,18:31,127,ASCENDING,S1A,1,100.0,4.3,4.3,6.1
2025-07-24,18:31,127,ASCENDING,S1A,1,100.0,0.0,4.0,60.4
2021-07-21,18:31,127,ASCENDING,S1A,1,100.0,0.0,3.6,22.2
2017-06-24,18:31,127,ASCENDING,S1A,1,100.0,3.5,3.5,4.0
2021-08-09,06:32,134,DESCENDING,S1B,1,99.9,0.3,2.9,13.0
2021-08-14,18:31,127,ASCENDING,S1A,1,100.0,1.7,2.9,9.0
2025-08-29,18:31,127,ASCENDING,S1A,1,100.0,1.9,2.9,39.5
2018-08-13,06:31,134,DESCENDING,S1B,1,99.9,0.1,2.7,8.0
2020-08-25,18:31,127,ASCENDING,S1B,3,100.0,0.5,2.5,13.7
2018-07-13,18:31,127,ASCENDING,S1A,1,100.0,0.0,2.4,17.1
2022-07-28,18:31,127,ASCENDING,S1A,1,100.0,1.1,2.3,22.5
2024-08-10,18:32,127,ASCENDING,S1A,1,100.0,0.7,2.3,15.3
2018-08-06,18:31,127,ASCENDING,S1A,1,100.0,1.3,2.0,2.0
2020-06-08,18:31,127,ASCENDING,S1A,1,100.0,0.0,1.8,8.0
2019-09-01,06:31,134,DESCENDING,S1B,1,99.9,0.0,1.6,31.8
2021-06-22,06:32,134,DESCENDING,S1B,1,99.9,1.3,1.4,6.3
2021-07-28,06:32,134,DESCENDING,S1B,1,99.9,1.2,1.3,1.3
2023-08-16,18:32,127,ASCENDING,S1A,1,100.0,0.5,1.3,123.1
2019-06-02,18:31,127,ASCENDING,S1A,1,100.0,0.0,1.1,26.4
2018-08-18,18:31,127,ASCENDING,S1A,1,100.0,0.0,0.9,2.8
2023-08-04,18:32,127,ASCENDING,S1A,1,100.0,0.2,0.8,7.0
2025-08-24,06:31,134,DESCENDING,S1C,1,99.9,0.2,0.6,6.2
2017-06-12,18:31,127,ASCENDING,S1A,1,100.0,0.3,0.6,8.5
2019-08-25,18:31,127,ASCENDING,S1A,1,100.0,0.0,0.5,6.4
2018-08-01,06:31,134,DESCENDING,S1B,1,99.9,0.0,0.5,3.0
2018-07-25,18:31,127,ASCENDING,S1A,1,100.0,0.2,0.4,0.4
2019-08-20,06:31,134,DESCENDING,S1B,1,99.9,0.2,0.4,26.9
